OTU,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_99,avg_166,avg_365
371510,0,0,0,0,0,0,0,0,2.8,0,75.2
1088120,0,0,0,1.2,0,0.2,5.333333333,19.4,15.4,6.666666667,40
348099,0,0,0,0,0,0,0,0,3.6,0,0
4042106,0.4,2.2,2.75,3.6,23.2,1.6,112.3333333,389.8,17.4,517.6666667,6.2
44075,0,0,0,0,0,0,0,0.2,0.4,0,0
757229,0,0,0,0,0.4,0,1,5,0.4,2.333333333,0.8
221497,0,0,0,0,0.6,0,0,0.6,1.4,0,1.4
718367,0,0,0,0,2.8,0,0,0.2,0,1.333333333,0
635391,0,0,0,0,0,0,0,5.2,6.8,1.333333333,0
4405161,0,0.2,0,0,0,0.6,4.666666667,2.6,4.6,5.666666667,1.4
3587343,0,0,0,370.8,0,226.6,11,8.2,0,16.66666667,6.6
4337676,0,0,0,0,0,14.4,0,0,0,0,0
348866,0,0,0,0,12.2,2,0,0,0,0,0
4351051,0,0,0,117.8,0,0,0,0,0,0,0
1146530,0,0,0,0,0,5.4,0,0,0,0,0
99322,0,49.2,917.5,947.2,37.8,486,199.6666667,372,23.6,164.3333333,0
370124,0,0,0,0,1.8,0.6,0,3.4,19.2,4.333333333,0.6
3521180,0.2,0,0.5,0.2,79.8,43.6,2,123.4,723.2,719.6666667,12
1010163,0,0,0,0,34.6,0,0,0,0,0,0
513757,0,0,0,0,11.2,0,0,0,3.6,1.333333333,0.2
284420,6,0,1,0,15,0.2,0.333333333,157.6,70,504.3333333,35
564487,0,0.4,31.25,1,377.8,18.6,137,44.6,24.2,39.33333333,0.4
212159,0,0,0,0.2,0.2,1,4.666666667,10,13.8,4.666666667,0.8
1078582,6.4,5.8,0,6.4,6.8,38.6,13,12.8,76.4,3.666666667,8
1126297,1.8,6,0.25,0.2,22.2,1.4,1248.333333,11.6,16.8,10.66666667,1.6
878765,0,0,0,0,0.6,8.4,2.333333333,5.2,6.8,24,1.6
1110000,0,0,0,0,0,0,0,0,0,0,1
3833747,0,0,0,0,0,0,0,0,1.4,0,0
518524,0,0,0,12.8,0,0.4,0,2.8,0.6,1.666666667,8.8
1053703,0,0.6,0,0,0.2,1.2,4,3.4,5.4,0.333333333,1
562141,0,0,0,1.4,0,2.4,10.33333333,6.8,8.2,2.666666667,1.6
976441,0,0,0,0,0.4,0.2,0,5.4,2.2,0,1
