,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_365
4405161,0,1,4.2,3.4,2.2,4.8,2,4.2,5.1
3587343,0,0,0,0,0.2,0,1,0,0.1
4337676,0,0,0,0,0,0,0,0,0
348866,0,0,0,0,0,0,0,0,0
4351051,0,0,0,0,0,0,0,0,0
1146530,0,0,0,0,0,0,0,0,0
99322,0,15.2,101.4,163.6,75.2,217.8,84.75,123.8,3.2
370124,0,1.8,6.6,1.6,15.2,0.2,4.5,17.6,3.4
3521180,2.6,56.2,291.4,87.8,561.2,10.6,146,938.4,101.5
1010163,0,0,0,0,0,0,0,0,0
513757,6.6,2.8,3.4,3.2,0.6,0.2,0,2.6,0.2
284420,0,9,39,16.8,29.4,491.2,51,167.2,20.5
564487,0,1212.2,7.4,92.4,319.4,98.2,70,11.2,65.4
212159,0,15,7.4,9,17.2,2.4,4.75,25.2,11
1078582,0.8,57.2,39.6,36.4,0,13.4,0.75,11.4,37
1126297,17,183.8,275.2,5.6,6.8,130.2,12.5,43,35.1
878765,0,0,4.4,0.6,2,21,13.75,10.2,1.5
1110000,0,0,0,0,0,0,0,0,8.5
3833747,0,0,0.4,0,0,0,0,0.2,1.6
518524,0,0,0.6,0,0,0.4,0.25,3.4,1.1
1053703,0,5.4,8.4,3.2,2.6,6.2,3,16.8,9.8
562141,0.2,8.8,12,3.2,8.8,11.2,2.5,24.2,11.6
976441,0.4,1.4,2.2,0.4,3.4,6.8,1.25,7.8,0.6
4354703,432.8,1033.4,933.4,1197.2,1693.6,2072,1104.5,4584.2,2464.4
107529,287.6,1.8,12.2,8.6,31.4,1.2,11,59,17.7
70559,0,0,0.8,0,0,3,0,0.4,0.3
4339351,37.2,4.4,153,482.8,812.6,456.6,2171.5,1151.2,64.9
4339772,0,18.2,384.6,74.8,412.2,974.6,269.5,151.4,3.6
2665096,0,0,0,0,0,0.2,0,0.6,0.1
236952,0,0.2,0,0,0,0,0,0,0.9
317024,0,0,0.2,0,0.2,2.6,0,3,0
465948,0.4,0,0,0.6,1.4,0.6,0.5,3.2,5.8
161490,0,6.2,13.6,1.2,6.4,28.4,2.5,7.6,1.9
862357,7.2,12.4,49.8,41.6,227.8,483.8,809.5,935.4,11.1
4361153,0,0.4,0,0,0.6,0,0,0.2,1.5
4357677,0,0,0,0,0,0,0,0.6,63.9
4426972,0,0,0.4,0,0.4,0,0,1.8,1
851799,0,0,0,0,0,0,0,0,0
253429,4,18.6,4.4,82.6,12.4,1.2,0.5,37.6,84.2
106749,0,0,0,0,0,0,0,0,0
677049,0,0,1.6,0.2,0,0.6,0,0,0
2688907,0,2,5.4,0.2,0,0.8,0,0,0.2
573326,504.4,55,64.4,283,3.4,385.6,152.25,8.6,5
101293,0.6,0.6,1.6,0.2,0,0.6,0.25,0,0
4329518,0.2,297.2,701.6,23.4,22,23.8,1.5,2,13.7
510360,0,0.8,360.4,61.8,337.4,207.6,12.5,618,0.2
4455618,1.2,2.2,650,1.2,2,0,1.5,0.2,0
3778553,0,31.8,182.4,389.6,21,13,2.5,6.6,12
345793,0,0.2,0,2,0,0.2,0,0,0.1
1046254,0,0,0,0.2,0,0,0.5,1.2,1.2
915265,0,0,0,0,0,255,0,1.2,5.9
